company,description,exp_level,location,placing_date,salary,title
bART Solutions,"About us: bART  Solutions is a Ukraine based provider of software development outsourcing services. It was established by enterprising professionals with years of experience in IT sphere. Being a custom software development company, we are specializing in the web, mobile and desktop development. Location: onle Lviv   Requirements: — At least 1 years of commercial experience with Python; — Proficiency in Django framework; — Experience with AWS, Alembic, React; — Strong understanding of relational databases (preferably PostgreSQL); — Familiarity with ControlPanel and GitHub; — Good communication and problem-solving skills; — English Upper-Intermediate or better. Responsibilities: — Develop and maintain the backend of the platform using Django; — Collaborate with cross-functional team to design and implement new features; — Optimize application performance and troubleshoot issues; — Ensure security and data privacy compliance, especially regarding sensitive medical data; — Ensure code quality through unit testing and code reviews. What will you get from bART? — Flexible working hours — A competitive salary — Regular performance reviews — Paid vacation (15 working days) and national holidays + 8 sick leaves — Corporate English language classes — An inspiring and comfy office near to the city center (Lviv) — People-oriented management without bureaucracy — Corporate events and outstanding parties If you want to join our team, please send your CV",0-1,Львів,1 листопада 2024,,Junior Python Engineer
Astronics CSC,"— Python, Linux (Ubuntu, Yocto, Debian), MySQL, SQLLite — Knowledge of the principles OOD, understanding of SOLID principles — RESTful API — Version control systems (git), jira 
			 
					 Будет плюсом — AI background — AWS 
				 
					 — Comfortable working conditions: newly renovated office / tea / coffee / cookies / games room — Corporate events and teambuilding — Young and positive team 
				 
					 — start/develop project(s) from scratch 
				 
					 entertainment system for civil aviation",0-1,Львів,14 жовтня 2024,від $800,Junior/Middle Python Developer
Geniusee,"Our mission at Geniusee is to help businesses thrive through tech partnerships and strengthen the engineering community by sharing knowledge and creating opportunities🌿 We care about Trust, Partnership, Transparency, and Responsibility. We offer a safe, inclusive, and productive environment for all team members, and we’re always open to feedback💜 If you want to work from home or work in the offices in Kyiv, Lviv or Warsaw with stable electricity and Wi-Fi, great — apply right now. Geniusee looking for a talented Python Developer with 2+ years of relevant experience. About the project:   The FinTech Educational Platform is dedicated to enhancing financial literacy worldwide. By fostering a deeper understanding of financial concepts, the platform aims to create a more financially competent and resilient global community. Responsibilities:   ● Collaborate with the customer R&D team and management to design and implement cutting-edge data-driven solutions; ● Develop and maintain data pipelines to power application backend Python and SQL; ● Utilize Python and SQL to manipulate and analyze large datasets; ● Work with the AWS cloud platform; ● Participate in code reviews, debugging, and troubleshooting to ensure high-quality deliverables; ● Engage in continuous learning and stay updated on emerging trends in software and data engineering. What you will need:   ● 2+ years of practical experience in Software Engineering roles; ● Proficient in Python, with strong SQL skills; ● Experience with Flask and libraries such as Pandas and SQLAlchemy; ● Familiarity with AWS services, including S3, EC2 and SQS; ● Hands-on experience with Docker; ● English proficiency at Upper-Intermediate level or higher. What will you get:   ● Competitive salary and good compensation package; ● Exciting, challenging, and stable startup projects with a modern stack; ● Corporate English course; ● Ability to practice English and communication skills through permanent interaction with clients from all over the world; ● Professional study compensation, online courses and certifications; ● Career development opportunity, semi-annual and annual salary review process; ● Necessary equipment to perform work tasks; ● VIP medical insurance or sports coverage; ● Informal and friendly atmosphere; ● The ability to focus on your work: a lack of bureaucracy and micromanagement; ● Flexible working hours (start your day between 8:00 and 11:30); ● Team buildings, corporate events; ● Paid vacation (18 working days) and sick leaves; ● Cozy offices in 2 cities ( Kyiv & Lviv ) with electricity and Wi-Fi ( Generator & Starlink ) ● Compensation for coworking (except for employees from Kyiv and Lviv) ● Corporate lunch + soft skills clubs ● Unlimited work from home from anywhere in the world (remote); ● Geniusee has its own charity fund. Reasons you will love working at Geniusee:   ● Employee-friendly working conditions One of Geniusee’s core values is treating each team member like a trusted partner. You get to choose your work environment because you know yourself best. ● Teamwork beats distance We put effort into maintaining a happy, friendly atmosphere within the team. We see each other at team meetups, workshops, G-talks, marathons, and other events. ● Excellent tools and equipment You don’t have to worry about your work gear, Geniusee will provide you with high-quality hardware appropriate for your job description. Your Geniusee Career Growth:   ●  360-degree  feedback — a process through which feedback from an employee’s subordinates, colleagues, and supervisor, as well as a self-evaluation by the employee themselves, is gathered ● Evaluation — time to talk with an expert. Together, you will assess the progress you have achieved ● Navigation — summarize your review with a manager and define your future goals",1-3,віддалено,8 листопада 2024,,Middle Python Developer
Quod Financial,"Must have: At lest 6 months of working with Python/Bash or any other scripting language Strong knowledge of testing methodology At least 12 months experience with Linux back-end (command line) Experience in writing test documentation At least 6 months experience in testing Basic knowledge of SQL Spoken English intermediate+ Nice to have: Experience with Git Experience with bug-tracking systems (Jira) Responsibilities: Analyze new functionality, create test cases, and execute tests Starting year 2 create auto-tests using Python Manual tests across different releases Integrate API’s with other components (manual deployment) on Linux back-end Upgrade testing environment using Jenkins jobs and sometimes manually on Linux back-end Run regression testing, analyze results, and raise reports Starting year 2 work on test framework with the QA team Communicate with colleagues from Paris and London (developers, project managers, product owners) We offer: Work on the company’s own product — a trading platform (you will work in a Forex team) Very technical and complex product, therefore, you should be a technical person Annual paid vacation 20 working days and 10 days of sick leave Medical insurance The warm and friendly working atmosphere Work in an international team Stable, long-term project Remote work in Ukraine or office in Gdansk (Poland) A big QA team of 30 people Type of contract — Gig contract (Diia city) Ukrainian public holidays — days off Corporate laptop and ecoflow if needed Hiring Process Steps: Technical test — 20 min (Python + testing) HR interview — 30 min Technical interview with a QA Manager and Team Member — 60 min Interview with Team Leader and Scrum Master — 60 min (in English) If your CV is relevant to this position our recruiting team will contact you within 5 working days Please, note that half of Quod’s Ukrainian team is from Kharkiv and speaks russian, including some recruiters and hiring managers. You are free to speak Ukraininan, russian, and English, but if the language question is very important to you, Quod may not be the best fit for you.",0-1,"Гданськ (Польща), віддалено",31 жовтня 2024,,QA General (Trainee/Junior) with Python
Deloitte,"Responsibilities: Develop, modify, and maintain complex web applications. Design, implement, and optimize RESTful APIs using FastAPI or Flask. Work closely with cross-functional teams to ensure reliable application performance. Manage and optimize relational databases, including PostgreSQL, and MongoDB for efficient data management. Implement data validation and serialization with Pydantic. Develop CI/CD pipelines and ensure smooth deployment processes. Perform unit and integration testing to maintain high code quality. Requirements: 2+ years of experience in backend development using Python (version 3.9+). Proficiency in FastAPI or Flask. Experience with Pydantic for data validation. Strong knowledge of SQL and ORM tools such as SQLAlchemy. Experience with relational databases (PostgreSQL) and MongoDB. Familiarity with Redis for caching solutions. Solid understanding of version control, specifically Git. Familiarity with Docker and containerized applications. Knowledge of best practices in software development and code quality. Nice to Have: Experience with Celery for task queuing. Familiarity with AsyncIO for asynchronous programming. Knowledge of Kubernetes for container orchestration. Experience with cloud platforms such as AWS or Azure. Familiarity with RabbitMQ for messaging.",1-3,"Київ, віддалено",8 листопада 2024,,Middle Python Developer (Ukraine location only)
Infineon Technologies,"Would you like to work at a global company and develop your skills in an agile team of experts? Then, we have an exciting challenge for you! Apply now to join our growing team at Infineon Lviv as Software Engineer Working Student. Candidate’s profile: — at least 1 year of work experience as an engineer — knowledge of MCU + C/Python programming languages — bachelor degree in computer science or equivalent — basic skills of time management and problem solving Main tasks: — Develop a Boot FW and associated software We offer:   — Medical Insurance — 20 days of paid vacation — Unlimited sick leaves — Accounting Services — Bonuses — Wide range of training offers and planning of career development — International assignments — Flexible Working Conditions — Free English classes during the business hours — Education compensation — Travel — Free parking zone (cars, bicycles, electric cars) — IT Cluster membership.",0-1,Львів,24 жовтня 2024,,Student job: Software Engineer
Numerical Technologies Ltd,"Joining Numerical Technologies is a unique chance that provides the opportunity to work alongside experienced professionals on impactful, quantitative projects across North and South America, Europe, the Middle East, Africa, and South Asia. This position is a chance to work hand-in-hand with expert quantitative researchers and quantitative engineers to create and implement research and simulation tools that leverage existing automated trading software and sophisticated statistical techniques and technologies. Do you enjoy the process of problem-solving, a process where you recognize areas of improvement and iterate and innovate to improve? Does your curiosity and desire to learn drive you? If this sounds like you, don’t miss this opportunity to gain valuable experience in a highly competitive and demanding fintech industry. What are we looking for? ◼️ Deep understanding of Applied Mathematics: Probability Theory and Statistics, Numerical Methods, Linear Algebra, Optimization ◼️ Bachelors, Masters or Phd in Physics, Mathematics, Statistics; or equivalent experience (we also welcome students) ◼️ Excellent communication skills ◼️ Willingness to learn together with a team of professionals ◼️ Organized and detail-oriented, comfortable managing multiple work streams ◼️ Intermediate and higher level of English. What will you be doing?   ◼️ Collaborating with cross-functional teams to develop AI-driven solutions that address specific business challenges. ◼️ Continuously learning and staying updated on the latest AI technologies and best practices, applying this knowledge to improve existing projects.   What additional skills will help you stand out? ◼️ Practical experience with AI technologies, particularly in applying them to solve real-world business problems, and a basic understanding of NLP concepts ◼️ Familiarity with Large Language Models (LLMs), including foundational knowledge of prompting techniques and experience with tools like langchain or llamaindex. ◼️ Commercial experience as a Python Developer. We offer: ◼️ Competitive compensation depending on experience and skills ◼️ Regular assessments and salary reviews ◼️ Compensation for sick lists and regular vacations ◼️ Health insurance ◼️ English classes with certified English teachers ◼️ Flexible working schedule ◼️ Friendly team and enjoyable working environment ◼️ Comfortable, spacious office within 10 min from all three Metro lines. ◼️ Corporate and social events. If you are comfortable with mathematical formulas and prepared to take a math test as part of the selection process, we would be pleased to receive your CV!",0-1,"Київ, віддалено",15 жовтня 2024,,Junior Math + Python Developer (ML/AI projects)
Deloitte,"Responsibilities: Assist in developing and maintaining web applications. Work on API development and integration tasks using Flask or FastAPI. Collaborate with team members to ensure project goals are met. Conduct debugging and testing to improve code quality. Write basic documentation for development tasks. Requirements: Basic experience in Python programming (1+ years). Familiarity with Flask or FastAPI frameworks. Understanding of RESTful API principles. Exposure to databases like PostgreSQL, MySQL, or MongoDB. Knowledge of version control systems, specifically Git. Eagerness to learn and adapt in a fast-paced environment. Must-have language skills: Fluent English in speech and writing (at least B2+)",1-3,"Київ, віддалено",8 листопада 2024,,Strong Junior Python Developer (Ukraine location only)
Nova Digital,"Українська IT-компанія Nova Digital, що входить в групу компаній NOVA — це потужний виробник веб-додатків та програмного забезпечення для архітектур будь-якої складності та навантаженості на них. Ми створюємо, обслуговуємо та постійно вдосконалюємо програмні продукти, зручність яких вже оцінили 32 мільйони приватних та бізнес-клієнтів Нової пошти. Ми розширюємо нашу команду, тому наразі ми у пошуку  Middle Python Engineer   Про команду   Відділ прогнозування та моделювання займається вирішенням цікавих інноваційних задач. По своєї суті, ми R&D підрозділ по аналітиці даних. Спектр задач різноманітний: прогнозування часових рядів, сегментації, NLP, створення алгоритмів прогнозування, нестандартна аналітика даних та інше.   Чим ти займатимешся Автоматизовувати прогнози та обробку даних по існуючим алгоритмам, або створювати нові Створювати з нуля модель для сегментації з використанням NLP/LLM Розробляти алгоритми для прогнозування, сегментацій та інше на основі бібліотек Machine Learning Про тебе Досвід розробки з даними на Python від  2-х  років, досвід роботи з базами даних Впевненно володієш математичним апаратом для Python: numpy, scipy, pandas та інше Розумієшься на Machine Learning  Бажаний досвід роботи з NLP/LLM або готовність швидко розібратися Можеш знайти нестандартне рішення задачі Не боїшся рутинних задач по аналітиці даних Рівень володіння англійської мови В1 Ми пропонуємо Офіційне працевлаштування Оплачувану відпустку  Медичне страхування Необхідну техніку для роботи Корпоративну культуру, яка мотивує та заряджає позитивом Роботу в соціально відповідальній компанії, що слідкує за трендами, цінує ідеї співробітників і розвивається разом з ним Можливість безпосередньо впливати на створення продукту, яким користуються мільйони користувачів Можливість роботи віддалено або у сучасному офісі, за бажанням Надсилай своє резюме, будемо знайомитись :)",1-3,"Київ, віддалено",8 листопада 2024,,Middle Python Engineer
GR8 Tech,"GR8 Tech is a global product company that provides innovative, scalable platforms and business solutions for the iGaming industry. 

 We have great experience: GR8 Tech platform successfully handles millions of active players and offers best practices to develop and grow in the gambling industry. We are here to provide great gaming tech to satisfy even greater ambition! 

 We develop complete tech coverage for gambling businesses worldwide, including iGaming platform solutions, consulting, integration, and long-lasting operation services. 

 We are driven by our ambition to make a great product with great people! Together we move the world of iGaming forward — join! 

 About your key responsibilities and impact: —	Developing, testing, and supporting features; —	Creating and maintaining automated unit tests and functional tests; —	Seeking, giving, and receiving critical feedback in a constructive manner, including but not limited to code reviews; —	Engaging in engineering on-call escalated support of services owned by the team; —	Working with product management to get requirements and drive technical feedback on complexity/approaches. 

 Essential professional experience: —	1.5+ years of proven experience writing high-quality code using Python; —	An understanding of design for scalability, performance, and reliability; —	Strong Computer Science fundamentals in object-oriented design, data structures, algorithm design, problem-solving, and complexity analysis; —	Ability and willingness to learn about new technologies; —	Self-motivated and proactive, able to take ownership and deliver results; —	Personal drive to get things finished; —	Fundamental understanding of Kubernetes and Helm; —	Experience in writing, and improving complex SQL queries; —	Base knowledge of Airflow; —	Good knowledge of PostgreSQL or other databases.  

 Desirable skills and personal features: —	Experience with AWS; —	Data Science experience; —	CI/CD pipeline experience; —	Base knowledge of Spark; —	Fundamental understanding of Flink; —	Experience with Kafka; —	Hands-on experience with infrastructure provisioning and configuration using Infrastructure as Code (IaC) principles; —	Experience with Go. 

 What we offer: 

 Benefits Cafeteria: —	Sports compensation; —	Medical coverage; —	Psychological support; —	Home-office coverage.  

 Work-life: —	Remote work, Coworking compensation; —	Childcare budget; —	Maternity leave; —	Paternity leave; —	Additional 2 days for family events.  

 Our GR8 Culture: —	Open feedback and transparent direct communications; —	Growth and development: better every day; —	High tolerance to experiment and mistakes; —	Supportive friendly environment.",1-3,"Moldova, Poland, Лімасол (Кіпр), Прага (Чехія), віддалено",5 листопада 2024,,Middle Python Engineer (Data Engineer)
